"Experiment","Worm.Age","Name","WITS.number","DNA","Proportion"
"Exp2",8,"24","5.WITS13",0,0
"Exp2",8,"24","6.WITS20",413.7822593,0.00122207026458453
"Exp2",8,"24","7.WITS21",338165.3682,0.998742289455853
"Exp2",8,"24","8.WITS2",7.164732824,2.1160421311236e-05
"Exp2",8,"24","9.WITS1",4.902752841,1.44798582513646e-05
"Exp2",8,"25","2.WITS19",0,0
"Exp2",8,"25","3.WITS17",0,0
"Exp2",8,"25","4.WITS11",0,0
"Exp2",8,"25","5.WITS13",1.388033667,3.26688425479575e-06
"Exp2",8,"25","6.WITS20",0.190736067,4.48917536309274e-07
"Exp2",8,"25","7.WITS21",424842.7665,0.999912449992985
"Exp2",8,"25","8.WITS2",13.46201283,3.16842730819622e-05
"Exp2",8,"25","9.WITS1",22.15746133,5.21499321422602e-05
"Exp2",9,"26","2.WITS19",285.1477834,1.54434426204083e-08
"Exp2",9,"26","3.WITS17",311.6446584,1.68784983792272e-08
"Exp2",9,"26","4.WITS11",0,0
"Exp2",9,"26","5.WITS13",3.302022285,1.78835658764959e-10
"Exp2",9,"26","6.WITS20",18463157794,0.999954180191544
"Exp2",9,"26","7.WITS21",0,0
"Exp2",9,"26","8.WITS2",845376.1671,4.57850949202558e-05
"Exp2",9,"26","9.WITS1",40.8563909,2.21275901575576e-09
"Exp2",9,"27","2.WITS19",171.3483789,0.000388489455191688
"Exp2",9,"27","3.WITS17",131.5645538,0.000298289614155781
"Exp2",9,"27","4.WITS11",0,0
"Exp2",9,"27","5.WITS13",3.099131469,7.02650298583727e-06
"Exp2",9,"27","6.WITS20",0.662919472,1.50300356598962e-06
"Exp2",9,"27","7.WITS21",0,0
"Exp2",9,"27","8.WITS2",440666.4633,0.999100635487045
"Exp2",9,"27","9.WITS1",90.0015523,0.000204055937055808
"Exp2",9,"28","2.WITS19",255.0292537,0.000283224159260092
"Exp2",9,"28","3.WITS17",307.4409562,0.000341430267620565
"Exp2",9,"28","4.WITS11",0,0
"Exp2",9,"28","5.WITS13",4.225518427,4.69267304264986e-06
"Exp2",9,"28","6.WITS20",0.649297369,7.2108081240413e-07
"Exp2",9,"28","7.WITS21",0,0
"Exp2",9,"28","8.WITS2",899787.592,0.999264125819237
"Exp2",9,"28","9.WITS1",95.27303495,0.000105806000027012
"Exp2",9,"29","2.WITS19",234.5470635,1.27028680988254e-08
"Exp2",9,"29","3.WITS17",295.1670172,1.59859928777804e-08
"Exp2",9,"29","4.WITS11",0,0
"Exp2",9,"29","5.WITS13",1.974240241,1.0692316076179e-10
"Exp2",9,"29","6.WITS20",18463157794,0.999948814728952
"Exp2",9,"29","7.WITS21",0.375123416,2.03163629640957e-11
"Exp2",9,"29","8.WITS2",944517.4806,5.11542578877635e-05
"Exp2",9,"29","9.WITS1",40.56672986,2.19705934886821e-09
"Exp2",10,"30","2.WITS19",70.89000386,0.000118041616920701
"Exp2",10,"30","3.WITS17",28.94115004,4.81909995803211e-05
"Exp2",10,"30","4.WITS11",0,0
"Exp2",10,"30","5.WITS13",1.632224904,2.71787919812926e-06
"Exp2",10,"30","6.WITS20",566.9329652,0.000944021445252264
"Exp2",10,"30","7.WITS21",5.621469498,9.36052070648489e-06
"Exp2",10,"30","8.WITS2",599867.0399,0.99886121415752
"Exp2",10,"30","9.WITS1",9.881093299,1.64533808216704e-05
"Exp2",10,"31","2.WITS19",242.8734265,9.59281309110563e-05
"Exp2",10,"31","3.WITS17",66.94453602,2.64411974074343e-05
"Exp2",10,"31","4.WITS11",0,0
"Exp2",10,"31","5.WITS13",1.531933806,6.05070504446647e-07
"Exp2",10,"31","6.WITS20",1075.37507,0.000424742722907343
"Exp2",10,"31","7.WITS21",0,0
"Exp2",10,"31","8.WITS2",2492355.566,0.984409922722228
"Exp2",10,"31","9.WITS1",38084.65274,0.0150423601560414
"Exp2",10,"32","2.WITS19",31.44778053,0.000139744368988157
"Exp2",10,"32","3.WITS17",14.47836629,6.43374548879636e-05
"Exp2",10,"32","4.WITS11",0,0
"Exp2",10,"32","5.WITS13",2.088718917,9.2816313943473e-06
"Exp2",10,"32","6.WITS20",0.64929737,2.88527996975054e-06
"Exp2",10,"32","7.WITS21",0,0
"Exp2",10,"32","8.WITS2",224977.9732,0.999733665499112
"Exp2",10,"32","9.WITS1",11.27119595,5.00857656479779e-05
"Exp2",10,"33","2.WITS19",28.92211176,4.62462499401728e-05
"Exp2",10,"33","3.WITS17",13.90034771,2.2226556614757e-05
"Exp2",10,"33","4.WITS11",0,0
"Exp2",10,"33","5.WITS13",2.808018728,4.49000187155677e-06
"Exp2",10,"33","6.WITS20",0,0
"Exp2",10,"33","7.WITS21",0,0
"Exp2",10,"33","8.WITS2",625338.2587,0.999911405120462
"Exp2",10,"33","9.WITS1",9.77619825,1.56320711117458e-05
"Exp3",3,"34","2.WITS19",4441481.7135,0.99999435197171
"Exp3",3,"34","3.WITS17",0,0
"Exp3",3,"34","4.WITS11",0.12373782,2.7859423747978e-08
"Exp3",3,"34","5.WITS13",0,0
"Exp3",3,"34","6.WITS20",2.164897464,4.87424102190414e-07
"Exp3",3,"34","7.WITS21",0,0
"Exp3",3,"34","8.WITS2",0,0
"Exp3",3,"34","9.WITS1",22.79712077,5.13274476441609e-06
"Exp3",3,"35","2.WITS19",1295030.509,0.99997859551628
"Exp3",3,"35","3.WITS17",0,0
